GeneName,GeneId,CHR,NumVariants,LOF,Ancestral,NumNull,NumUpstream,NumSynonymous,NumStopLost,NumStopGain,NumStartLost,NumSpliceRegion,NumSpliceDonor,NumSpliceAcceptor,NumMissense,NumIntronic,NumInframeIndel,NumFrameshift,NumDownstream,Num3UTR,Num5UTR,MinPos,MaxPos
OR4F5,ENSG00000186092,1,32,2,0,0,1,11,0,2,0,0,0,0,16,0,0,0,2,0,0,69072,70064
SAMD11,ENSG00000187634,1,358,4,0,0,0,34,0,1,0,8,0,1,79,117,1,2,90,24,1,925875,948670
NOC2L,ENSG00000188976,1,92,1,0,0,0,14,0,0,0,7,0,0,14,56,0,1,0,0,0,951036,954181
KLHL17,ENSG00000187961,1,109,0,0,0,64,11,0,0,0,0,0,0,9,18,0,0,0,0,7,955857,961489
PLEKHN1,ENSG00000187583,1,522,3,0,0,193,30,0,1,0,8,0,1,70,83,0,1,129,4,2,961517,980065
PERM1,ENSG00000187642,1,50,2,0,0,22,7,0,1,0,0,0,0,15,0,1,1,0,0,3,980110,982151
ISG15,ENSG00000187608,1,79,1,0,0,44,6,0,0,0,0,0,0,12,8,0,1,2,2,4,1000018,999982
AGRN,ENSG00000188157,1,616,0,1,0,6,110,0,0,0,19,0,0,124,351,0,0,0,5,1,1020074,1055057
RNF223,ENSG00000237330,1,41,0,0,0,0,12,0,0,0,0,0,0,23,3,0,0,0,3,0,1071723,1072628
C1orf159,ENSG00000131591,1,134,1,0,0,0,21,0,0,0,8,0,0,29,63,0,1,0,5,7,1082798,1091622
TTLL10,ENSG00000162571,1,263,10,4,0,13,24,0,2,0,11,0,2,53,102,0,6,6,36,8,1179138,1197935
TNFRSF18,ENSG00000186891,1,78,3,1,0,4,9,0,1,0,4,0,0,26,25,0,2,1,4,2,1203496,1206316
TNFRSF4,ENSG00000186827,1,30,1,0,0,0,3,0,0,0,2,0,0,2,4,0,1,15,3,0,1206343,1211882
SDF4,ENSG00000078808,1,359,1,0,0,40,21,0,0,0,3,0,0,23,165,1,1,91,9,5,1211912,1233350
.,.,1,24192,0,0,24192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100028545,99985568
FAM132A,ENSG00000184163,1,109,2,2,0,7,14,0,1,0,4,0,0,19,53,0,1,0,10,0,1242462,1246771
UBE2J2,ENSG00000160087,1,102,0,3,0,0,11,0,0,0,3,0,0,3,78,0,0,0,3,4,1255143,1268084
SCNN1D,ENSG00000162572,1,131,4,4,0,7,24,0,3,0,8,0,0,33,40,1,1,0,0,14,1281136,1287359
ACAP3,ENSG00000131584,1,401,0,6,0,12,30,0,0,0,5,0,0,25,136,0,0,189,4,0,1287417,1304206
CPSF3L,ENSG00000127054,1,418,3,2,0,44,38,0,0,1,10,2,0,34,78,0,0,197,3,11,1307160,1327860
DVL1,ENSG00000107404,1,471,1,1,0,63,31,0,1,0,8,0,0,52,127,1,0,176,4,8,1331272,1354274
MXRA8,ENSG00000162576,1,132,4,1,0,28,7,0,1,0,1,1,0,17,62,0,2,0,0,13,1354367,1359631
AURKAIP1,ENSG00000175756,1,39,1,4,0,0,3,0,0,0,1,0,0,15,13,0,1,0,1,5,1373758,1374811
CCNL2,ENSG00000221978,1,171,1,4,0,59,11,0,0,0,1,0,1,24,19,5,0,31,17,3,1387195,1402693
MRPL20,ENSG00000242485,1,29,2,0,0,0,2,0,1,1,0,0,0,11,7,0,0,0,0,7,1405717,1407274
ANKRD65,ENSG00000235098,1,81,4,3,0,0,16,0,2,0,1,0,0,29,25,1,2,0,2,3,1419019,1421068
TMEM88B,ENSG00000205116,1,48,1,2,0,2,6,0,0,0,1,0,1,10,20,2,0,6,0,0,1426076,1427884
VWA1,ENSG00000179403,1,68,1,0,0,0,12,0,1,0,1,0,0,31,8,1,0,0,6,8,1435691,1439852
ATAD3C,ENSG00000215915,1,208,5,8,0,0,29,0,0,0,9,1,2,47,112,1,2,0,0,5,1450608,1462773
ATAD3B,ENSG00000160072,1,503,4,28,0,32,56,1,1,0,13,1,0,82,273,2,1,4,30,7,1468287,1496280
ATAD3A,ENSG00000197785,1,449,2,19,0,49,38,0,0,0,16,1,0,52,217,0,1,50,8,17,1509120,1535888
SSU72,ENSG00000160075,1,79,0,4,0,0,8,0,0,0,2,0,0,3,33,0,0,21,8,4,1539644,1574657
FNDC10,ENSG00000228594,1,35,1,0,0,0,16,0,0,0,0,0,0,6,0,0,1,0,7,5,1599247,1600085
MIB2,ENSG00000197530,1,158,7,2,0,20,41,0,1,1,9,0,0,26,40,0,5,0,0,15,1615365,1627057
MMP23B,ENSG00000189409,1,337,2,0,0,147,3,0,0,0,1,1,0,14,46,0,1,119,1,4,1627132,1637978
CDK11B,ENSG00000248333,1,46,0,0,0,0,3,0,0,0,2,0,0,6,35,0,0,0,0,0,1640209,1641210
SLC35E2B,ENSG00000189339,1,158,2,5,0,2,16,0,1,0,4,1,0,22,55,1,0,30,4,22,1655276,1692787
CDK11A,ENSG00000008128,1,358,5,0,0,82,37,0,0,0,14,1,0,50,152,7,4,0,0,11,1702931,1729320
SLC35E2,ENSG00000215790,1,229,2,0,0,0,12,0,2,0,2,0,0,26,53,0,0,106,20,8,1729361,1739649
NADK,ENSG00000008130,1,183,4,9,0,22,22,0,3,0,3,0,1,44,79,3,0,0,2,4,1752835,1765505
GNB1,ENSG00000078369,1,63,0,0,0,0,16,0,0,0,3,0,0,1,43,0,0,0,0,0,1787270,1825544
